Year,Value
1880,-0.06
1881,-0.09
1882,0.08
1883,-0.28
1884,-0.24
1885,-0.45
1886,-0.18
1887,-0.52
1888,-0.33
1889,-0.03
1890,-0.34
1891,-0.39
1892,-0.24
1893,-0.73
1894,-0.41
1895,-0.43
1896,-0.15
1897,-0.13
1898,-0.01
1899,-0.14
1900,-0.34
1901,-0.13
1902,-0.10
1903,-0.24
1904,-0.62
1905,-0.36
1906,-0.15
1907,-0.38
1908,-0.39
1909,-0.59
1910,-0.36
1911,-0.55
1912,-0.28
1913,-0.36
1914,0.11
1915,-0.15
1916,-0.13
1917,-0.53
1918,-0.32
1919,-0.23
1920,-0.20
1921,-0.08
1922,-0.30
1923,-0.24
1924,-0.22
1925,-0.40
1926,0.13
1927,-0.23
1928,-0.08
1929,-0.49
1930,-0.34
1931,-0.03
1932,0.15
1933,-0.29
1934,-0.30
1935,-0.28
1936,-0.27
1937,-0.18
1938,0.02
1939,-0.11
1940,0.01
1941,0.27
1942,0.29
1943,-0.03
1944,0.39
1945,0.17
1946,0.25
1947,-0.16
1948,0.07
1949,0.12
1950,-0.29
1951,-0.28
1952,0.13
1953,0.09
1954,-0.20
1955,0.15
1956,-0.14
1957,-0.09
1958,0.32
1959,0.15
1960,0.04
1961,0.13
1962,0.12
1963,0.06
1964,0.01
1965,-0.07
1966,-0.05
1967,-0.09
1968,-0.20
1969,-0.09
1970,0.14
1971,0.01
1972,-0.24
1973,0.28
1974,-0.19
1975,0.11
1976,-0.02
1977,0.13
1978,0.17
1979,0.15
1980,0.33
1981,0.51
1982,0.14
1983,0.53
1984,0.30
1985,0.23
1986,0.32
1987,0.32
1988,0.56
1989,0.17
1990,0.36
1991,0.43
1992,0.46
1993,0.36
1994,0.27
1995,0.56
1996,0.25
1997,0.34
1998,0.60
1999,0.51
2000,0.34
2001,0.47
2002,0.71
2003,0.72
2004,0.62
2005,0.65
2006,0.51
2007,0.92
2008,0.27
2009,0.60
2010,0.74
2011,0.47
2012,0.45
2013,0.62
2014,0.70
2015,0.83
2016,1.13
2017,0.98
2018,0.76
2019,0.94
2020,1.14
